Question,Option_1,Option_2,Option_3,Option_4,Explanation,Type,File,Country,Category,Wikipedia,Answer_Type,False_type
"Which Bundesliga team, Bayern Munich or Borussia Dortmund, has the stadium with the largest seating capacity among clubs that have won the FIFA World Cup?",Bayern Munich,Borussia Dortmund,I don't know,Both teams' stadiums have equal capacity.,"Spotify Camp nou and Estadio Santiago Bernabéu, Barcelona and Real Madrid's stadiums, have the largest capacity among the clubs that won FIFA Club World Cup, not FIFA World Cup.",Comparison,11_Bundesliga,Germany,Sports,https://en.wikipedia.org/wiki/Bundesliga,Group_or_Org,Event
What camera brand was used by director Federico Fellini when filming his Academy Award-winning film that stars Marcello Mastroianni as Marcello Rubini?,Leica,Hasselblad,I don't know,Nikon,"Federico Fellini did not win an Academy Award for La Dolce Vita. La Dolce Vita was nominated for four Academy Awards, and won one for Best Costume Design.",Named,3_La_Dolce_Vita,Italy,Entertainment,https://en.wikipedia.org/wiki/La_Dolce_Vita,Other_proper_noun,Event
"In which country, besides the U.S. and Italy, was the 1972 American epic gangster film directed by Francis Ford Coppola filmed?",Germany,China,I don't know,France,It was filmed in locations around New York City and Sicily.,Named,4_The_Godfather,United_States,Entertainment,https://en.wikipedia.org/wiki/The_Godfather,Location,Event
What type of samphire was traditionally used by glassmakers in the 18th century to produce soap and glass in the UK?,Rock samphire,I don't know,Golden samphire,Marsh samphire,The term about 18th century is not correct.,Temporal,7_Samphire,United_Kingdom,Food,https://en.wikipedia.org/wiki/Samphire,Food_Drink,Event
What is the oldest known recipe for Sauerbraten that was written by the German chef who won the Nobel Prize in Culinary Arts?,I don't know,Theodor Fontane's recipe from the 19th century,Gottfried August Bürger's recipe from the 18th century,Albrecht Dürer's recipe from the 16th century,"The false premise here is that there is no Nobel Prize in Culinary Arts, as such a prize does not exist. The question implies that a German chef won this non-existent award, which is impossible.",Named,2_Sauerbraten,Germany,Food,https://en.wikipedia.org/wiki/Sauerbraten,Date_or_Time_Period,Event
What is the religion of the archbishop who oversaw the completion of the Cologne Cathedral in 1930?,Atheist,Catholic,I don't know,Protestant,"It was in 1880, not 1930.",Named,6_Cologne_Cathedral,Germany,Religion,https://en.wikipedia.org/wiki/Cologne_Cathedral,Common_noun,Event
What was the main religion of the monarch who signed the Restoration of the English hierarchy in the 19th century?,I don't know,None of the Above,Catholic,Anglican,"There was no ""Restoration of the English hierarchy"" in the 19th century, as the Church of England had already been established as the state church centuries earlier. The false premise is the existence of an event called the ""Restoration of the English hierarchy"" in the 19th century.",Named,1_Christianity_in_the_United_Kingdom,United_Kingdom,Religion,https://en.wikipedia.org/wiki/Christianity_in_the_United_Kingdom,Language_or_Nationality_or_Country,Event
Which non-Christian religion had the highest number of adherents in the UK during the reign of Queen Anne in 19th century?,Judaism,Hinduism,Islam,I don't know,"Queen Anne reigned in the early 18th century, not 19th.",Temporal,1_Christianity_in_the_United_Kingdom,United_Kingdom,Religion,https://en.wikipedia.org/wiki/Christianity_in_the_United_Kingdom,Language_or_Nationality_or_Country,Event
What was the original purpose of the Jesuit community's college on the site of St. Patrick's Cathedral before it was sold to the Diocese of New York in 1808?,Liberal arts education,Vocational training,I don't know,Religious seminary,It was sold in 1813 not 1808.,Named,6_St._Patrick_s_Cathedral_(New_York),United_States,Religion,https://en.wikipedia.org/wiki/St._Patrick_s_Cathedral_(New_York),Common_noun,Event
Which Iranian university awarded the first woman who won the Fields Medal her PhD?,Amirkabir University of Technology,I don't know,Sharif University of Technology,University of Tehran,Maryam Mirzakhani was honored with the Fields Medal becoming the first woman to win the prize.,Named,1_Maryam_Mirzakhani,Iran,Science_and_technology,https://en.wikipedia.org/wiki/Maryam_Mirzakhani,Group_or_Org,Event
"Which of Wolf Prize in Mathematics, Abel Prize, and Chern Medal did Maryam Mirzakhani win earlier?",Wolf Prize in Mathematics,Abel Prize,Chern Medal,I don't know,"Maryam Mirzakhani won Blumenthal Award (2009), Satter Prize (2013), Clay Research Award (2014), and Fields Medal(2014), not the ones mentioned in the question.",Comparison,1_Maryam_Mirzakhani,Iran,Science_and_technology,https://en.wikipedia.org/wiki/Maryam_Mirzakhani,Event,Event
What major award did Stephen Hawking recieved earlier that he recieved Adams Prize?,Eddington Medal,I don't know,Maxwell Medal and Prize,Heineman Prize,He did not revieve any major award ealier than that.,Temporal,1_Stephen_Hawking,United_Kingdom,Science_and_technology,https://en.wikipedia.org/wiki/Stephen_Hawking,Event,Event
At which foreign university does the the French physicist who won the Physics nobel prize with an American hold the the Fermi Chair of Physics?,Serge Haroche,I don't know,Jules A. Hoffmann,Moungi Bawendi,"Serge Haroche, the Physics nobel prize winner with an American, had the Fermi Chair of Physics at University of Rome La Sapienza in 2022, not now.",Named,1_Serge_Haroche,France,Science_and_technology,https://en.wikipedia.org/wiki/Serge_Haroche,Person,Event
"Which country was the only one that provided financial, political, and logistical aid to Iraq during the Iran-Iraq War?",Soviet Union,Arab countries,I don't know,United States,"Iraq received aid from a variety of sources, including the United States, the United Kingdom, the Soviet Union, France, Italy, Yugoslavia, and the majority of Arab countries.",Geographical,9_Iran-Iraq_War,Iran,History,https://en.wikipedia.org/wiki/Iran-Iraq_War,Language_or_Nationality_or_Country,Event
What was the profession of Mao Zedong before he became a leader of the Chinese Communist Party?,I don't know,Farmer,Doctor,Teacher,"The question assumes Mao Zedong had a profession before becoming a CCP leader, which is not true. Mao was a revolutionary and political leader from the beginning, without a prior established career.",Temporal,8_Chinese_Civil_War,China,History,https://en.wikipedia.org/wiki/Chinese_Civil_War,Common_noun,Event
"Related to the Memorial to the Murdered Jews of Europe, between Degussa and Serra-Eisenman, whose design included both the 4,000 stone pillars and the Wall of Books that were completed in 2004?",Both,I don't know,Serra-Eisenman,Degussa,"The Serra-Eisenman design originally had 4,000 pillars but was reduced to 2,711, and the Wall of Books was never built, though it was proposed in the negotiations.",Comparison,15_Memorial_to_the_Murdered_Jews_of_Europe,Germany,History,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,Group_or_Org,Event
Which Chinese dynasty both constructed the Great Wall of China in Beijing and established the city as the national capital in the 7th century?,Tang Dynasty,Ming Dynasty,I don't know,Han Dynasty,"The Great Wall of China was not constructed in Beijing, and Beijing was not established as the national capital in the 7th century. The Great Wall was built over many dynasties, and Beijing became the capital during the Yuan Dynasty in the 13th century.",Comparison,6_Beijing,China,Geography,https://en.wikipedia.org/wiki/Beijing,Group_or_Org,Event
What was the primary export product from the largest adobe building in the world during the Safavid dynasty rule in Iran?,Spices,Pistachios,I don't know,Carpets,"The false premise in this question is that the Arg-e Bam citadel was a major exporter during the Safavid dynasty rule. The document states that the city was renowned for silkworm breeding and a flourishing silk industry during this period, but does not mention any other major export products.",Named,2_Arg-e_Bam,Iran,Geography,https://en.wikipedia.org/wiki/Arg-e_Bam,Common_noun,Event
"Which foreign embassy in the largest city of Iran hosted the largest celebration for the 2,500th anniversary of the Persian Empire?",United States Embassy,Russian Embassy,United Kingdom Embassy,I don't know,"The facts provided do not mention any foreign embassies in Tehran hosting a celebration for the 2,500th anniversary of the Persian Empire. The only landmark mentioned is the Azadi Tower, which was built in 1971 to mark this anniversary.",Named,6_Tehran,Iran,Geography,https://en.wikipedia.org/wiki/Tehran,Group_or_Org,Event
Which Chinese poet and novelist both wrote Dream of the Red Chamber and was known for his stylish paintings of cliffs and rocks in the 18th century?,Cao Xueqin,I don't know,Li He,Cao Fu,"The question assumes that Cao Xueqin was known for his stylish paintings, which is not true. Cao Xueqin was praised for his originality in poetry, not his paintings.",Intersection,3_Cao_Xueqin,China,Arts_and_Literature,https://en.wikipedia.org/wiki/Cao_Xueqin,Person,Event
Which famous Tang dynasty poet both wrote 'Quiet Night Thought' and was depicted in the 'Table of Peerless Heroes' painting by Jin Guliang in the 18th century?,I don't know,Zhang Xu,Du Fu,Li Bai,"The 'Table of Peerless Heroes' was created in the 18th century, long after Li Bai's lifetime in the 8th century Tang dynasty.",Intersection,4_Li_Bai,China,Arts_and_Literature,https://en.wikipedia.org/wiki/Li_Bai,Person,Event
Which Chinese city hosted the international film festival where Wang Shuo's Academy Award-winning film was screened?,Guangzhou,I don't know,Shanghai,Beijing,Wang Shuo has never directed an Academy Award-winning film. The question is based on a false premise.,Geographical,5_Wang_Shuo,China,Arts_and_Literature,https://en.wikipedia.org/wiki/Wang_Shuo,Location,Event
"Which Chinese poet from the late Ming dynasty had their poetry style incorporated into Dream of the Red Chamber, and also influenced its philosophical themes?",Li Bai,Cao Xueqin,Du Fu,I don't know,"The novel's writing style includes echoes of plays and novels from the late Ming dynasty, not specifically the poetry of earlier poets like Du Fu or Li Bai. Additionally, the philosophical themes explored in the novel are not directly linked to any specific earlier poet.",Intersection,6_Dream_of_the_Red_Chamber,China,Arts_and_Literature,https://en.wikipedia.org/wiki/Dream_of_the_Red_Chamber,Person,Event
What was the theme of the poem written by Sima Qian that was included in the 'Hereditary Houses' section of the Records of the Grand Historian?,Love and romance,Historical reflections,Nature and the seasons,I don't know,"Sima Qian, the author of the Records of the Grand Historian, did not write any poems that were included in the text. The 'Hereditary Houses' section contained biographical accounts, not poetry.",Temporal,9_Records_of_the_Grand_Historian,China,Arts_and_Literature,https://en.wikipedia.org/wiki/Records_of_the_Grand_Historian,Common_noun,Event
Which French Algerian author was both a journalist for the banned newspaper Combat during World War II and a member of the French Communist Party in the 1930s?,Albert Camus,Simone Hié,I don't know,Francine Faure,"The question has a false premise that the same person was both a journalist for Combat and a member of the French Communist Party, which is not true.",Intersection,3_Albert_Camus,France,Arts_and_Literature,https://en.wikipedia.org/wiki/Albert_Camus,Person,Event
"Which of Thomas Mann's sons, both well-known writers themselves, collaborated to translate their father's novel The Magic Mountain into Chinese in the 1940s?",Micheal Mann,Golo Mann,I don't know,Klaus Mann,"Thomas Mann's sons Erika, Klaus, Golo, and Michael were all writers, but there is no evidence that any of them translated The Magic Mountain into Chinese. The novel was originally written in German and has been translated into many languages, but a Chinese translation in the 1940s is unlikely.",Comparison,3_Thomas_Mann,Germany,Arts_and_Literature,https://en.wikipedia.org/wiki/Thomas_Mann,Person,Event
What was the original title of Thomas Mann's Nobel Prize-winning novel that was inspired by his wife's stay at a Swiss sanatorium?,The Zauberberg,The Magic Mountain,I don't know,The Flatlands,"The Magic Mountain was not awarded the Nobel Prize, as it was not Thomas Mann's only Nobel Prize-winning novel. The original title of the novel was Der Zauberberg (The Magic Mountain), not The Flatlands or The Magic Mountain.",Named,8_The_Magic_Mountain,Germany,Arts_and_Literature,https://en.wikipedia.org/wiki/The_Magic_Mountain,Artwork,Event
Which famous German playwright both wrote the acclaimed play 'The Robbers' and founded the Weimar Theater with Johann Wolfgang von Goethe in the 19th century?,"Karl Eugen, Duke of Württemberg",Johann Wolfgang von Goethe,I don't know,Johann Christoph Friedrich von Schiller,"The false premise is that Schiller both wrote 'The Robbers' and founded the Weimar Theater with Goethe. While Schiller did write 'The Robbers', he did not found the Weimar Theater - that was done by Schiller and Goethe together.",Intersection,4_Friedrich_Schiller,Germany,Arts_and_Literature,https://en.wikipedia.org/wiki/Friedrich_Schiller,Person,Event
Which Russian-born German-Swiss poet and novelist incorporated Buddhist spiritual themes in his best-selling novel Siddhartha and received the Nobel Prize in Literature in 1956?,Rainer Maria Rilke,Hermann Hesse,I don't know,Thomas Mann,"The false premise in this question is that Hermann Hesse received the Nobel Prize in Literature in 1956. In reality, Hesse received the Nobel Prize in Literature in 1946, not 1956.",Comparison,5_Herman_Hesse,Germany,Arts_and_Literature,https://en.wikipedia.org/wiki/Herman_Hesse,Person,Event
What type of poem did Hafez write to commemorate the victory of the Persian ruler's army at the Battle of Samarkand?,I don't know,Ode,Ruba'i,Ghazal,"Hafez did not write any poems specifically commemorating military victories. The passage states that Hafez had an encounter with Timur, but does not mention him writing a poem about a Timurid military victory.",Named,1_Hafez,Iran,Arts_and_Literature,https://en.wikipedia.org/wiki/Hafez,Common_noun,Event
"In which language did Rumi write his most famous work, which is considered one of the greatest poems in Arabic Literature?",Turkish,I don't know,Arabic,Persian,"The question has a false premise that Rumi wrote his most famous work, the Masnavi, in a language other than Persian. The facts clearly state that Rumi's works, including the Masnavi, were written mostly in Persian.",Named,2_Rumi,Iran,Arts_and_Literature,https://en.wikipedia.org/wiki/Rumi,Language_or_Nationality_or_Country,Event
Which of Sadegh Hedayat's sisters married an army general who later became a prime minister of Iran under Shah Mohammad Reza Pahlavi?,Haj Ali Razmara,Abdollah Hedayat,I don't know,Neither,"The false premise is that one of Sadegh Hedayat's sisters married a prime minister of Iran. While his sister did marry an army general, Haj Ali Razmara, he was not a prime minister.",Named,5_Sadegh_Hedayat,Iran,Arts_and_Literature,https://en.wikipedia.org/wiki/Sadegh_Hedayat,Person,Event
Which Iranian painter both studied with Mirza Esma'il and was the founder of Iran's painting school?,Mirza Abolhassan Khan Ghaffari,Mirza Bozorg Ghaffari Kashani,I don't know,Mohammad Ghaffari,"The false premise here is that Mirza Bozorg Ghaffari Kashani, Kamal-ol-Molk's father, was the founder of Iran's painting school, not Mirza Esma'il, who is mentioned in the question. Kamal-ol-Molk did not study with Mirza Esma'il, but rather with Mozayyen-od-Doleh at Dar-ul-Funun School.",Intersection,11_Kamal-ol-molk,Iran,Arts_and_Literature,https://en.wikipedia.org/wiki/Kamal-ol-molk,Person,Event
"Who was the publisher of Italo Calvino's first published short story, which he wrote while serving in the Italian Resistance during World War II?",Mondadori,Il Politecnico,I don't know,Einaudi,"The question assumes that Italo Calvino wrote and published a short story during his serving time in the Italian Resistance, which is not accurate.",Named,3_Italo_Calvino,Italy,Arts_and_Literature,https://en.wikipedia.org/wiki/Italo_Calvino,Group_or_Org,Event
Which Italian poet did Pirandello translate after completing his doctorate in Romance Philology at the University of Bonn?,Johann Wolfgang von Goethe,Arturo Graf,I don't know,Giosuè Carducci,"The false premise is that Pirandello translated an Italian poet after completing his doctorate in Romance Philology at the University of Bonn. In reality, the document states that Pirandello began translating the Roman Elegies of Goethe while studying in Bonn, not an Italian poet.",Temporal,4_Luigi_Pirandello,Italy,Arts_and_Literature,https://en.wikipedia.org/wiki/Luigi_Pirandello,Person,Event
Which Italian author both wrote a tragic farce that influenced the Theatre of the Absurd and was awarded the 1934 Nobel Prize in Literature?,Luigi Pirandello,I don't know,Arturo Graf,Giosuè Carducci,"The false premise is that Luigi Pirandello wrote a tragic farce that influenced the Theatre of the Absurd. While Pirandello's plays are often seen as precursors to the Theatre of the Absurd, he did not write any 'tragic farces' specifically. Additionally, the question incorrectly implies that Pirandello's Nobel Prize was for his dramatic works, when in fact the Nobel citation was for his 'bold and ingenious revival of dramatic and scenic art'.",Intersection,4_Luigi_Pirandello,Italy,Arts_and_Literature,https://en.wikipedia.org/wiki/Luigi_Pirandello,Person,Event
Which Italian author both wrote a novel about a 13th-century monastery and incorporated semiotics in his literary theory?,I don't know,Luigi Pirandello,Umberto Eco,Italo Calvino,The false premise is that the novel Eco wrote was about a 14th-century monastery.,Intersection,5_Umberto_Eco,Italy,Arts_and_Literature,https://en.wikipedia.org/wiki/Umberto_Eco,Person,Event
Which 19th century English artist both designed the iconic cover illustration for the first edition of Great Expectations and included Dickens as a character in one of their major paintings?,John Everett Millais,George Cruikshank,I don't know,William Holman Hunt,"The question is false because there is no evidence that any 19th century English artist both designed the cover illustration for the first edition of Great Expectations and included Dickens as a character in one of their major paintings. The cover illustration for the first edition was not created by a famous artist, and there are no known major paintings from the time that featured Dickens as a character.",Intersection,10_Great_Expectations,United_Kingdom,Arts_and_Literature,https://en.wikipedia.org/wiki/Great_Expectations,Person,Event
What was the subject matter of the photographic series Hockney created in 1978 while staying with his friend the printer Ken Tyler at Tyler's studio in New York?,Swimming pools,I don't know,Sunflowers,Landscapes,"The false premise is that Hockney created a photographic series while staying with Ken Tyler in New York in 1978. The facts state he created a series of 29 artworks using a new technique with liquid paper, not photography.",Named,13_David_Hockney,United_Kingdom,Arts_and_Literature,https://en.wikipedia.org/wiki/David_Hockney,Common_noun,Event
Which of Hemingway's novels was adapted into a film that won the Academy Award for Best Cinematography in the 1950s?,I don't know,The Old Man and the Sea,The Sun Also Rises,A Farewell to Arms,"The premise that one of Hemingway's novels was adapted into a film that won the Academy Award for Best Cinematography in the 1950s is false. While several of Hemingway's works were adapted into films, none of them won the Academy Award for Best Cinematography in the 1950s.",Named,2_Ernest_Hemingway,United_States,Arts_and_Literature,https://en.wikipedia.org/wiki/Ernest_Hemingway,Artwork,Event
Which American author first invented the literary technique of stream-of-consciousness while also serving as a postmaster at the University of Mississippi in the 1920s?,William Faulkner,Ernest Hemingway,I don't know,F. Scott Fitzgerald,"William Faulkner did not invent the stream-of-consciousness literary technique, and he resigned from his position as postmaster at the University of Mississippi, rather than serving in that role.",Intersection,5_William_Faulkner,United_States,Arts_and_Literature,https://en.wikipedia.org/wiki/William_Faulkner,Person,Event
Which playwright both adapted To Kill a Mockingbird into a play and directed the film version in the 1960s?,Harper Lee,Robert Mulligan,I don't know,Horton Foote,"The question contains a false premise that the same person adapted To Kill a Mockingbird into a play and directed the film version. In reality, Horton Foote wrote the screenplay for the 1962 film adaptation, but a different director, Robert Mulligan, directed the film.",Intersection,8_To_Kill_a_Mockingbird,United_States,Arts_and_Literature,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird,Person,Event
Which African-American writer both authored Beloved and won the Nobel Prize for Literature in the same year?,Toni Morrison,James Baldwin,I don't know,Richard Wright,"The novel Beloved was written by Toni Morrison, but she did not win the Nobel Prize for Literature in the same year. The Nobel Prize in Literature was awarded to Toni Morrison in 1993, six years after the publication of Beloved.",Intersection,10_Beloved_(novel),United_States,Arts_and_Literature,https://en.wikipedia.org/wiki/Beloved_(novel),Person,Event
"Which abstract expressionist painter both incorporated Native American motifs in his work and was expelled from high school in Chico, California in the 1920s?",I don't know,Salvador Dalí,Pablo Picasso,Jackson Pollock,"The false premise is that Jackson Pollock was expelled from a high school in Chico, California in the 1920s. The facts state that Pollock was expelled from a high school in Los Angeles, not Chico.",Intersection,11_Jackson_Pollock,United_States,Arts_and_Literature,https://en.wikipedia.org/wiki/Jackson_Pollock,Person,Event
Which pop artist both created the Campbell's Soup Cans series and designed album covers for RCA Records in the 1990?,Roy Lichtenstein,I don't know,Jackson Pollock,Andy Warhol,"The false premise is that Andy Warhol designed album covers for RCA Records in the 1960s. While Warhol did create the Campbell's Soup Cans series, he did not design album covers for RCA Records in 1990, but 1960s",Intersection,12_Andy_Warhol,United_States,Arts_and_Literature,https://en.wikipedia.org/wiki/Andy_Warhol,Person,Event
How many students did the world's fifth-largest university had in 1980?,I don't know,1.5 million,2 million,1 million,"IAU was approved and ratified by the Supreme Council of the Cultural Revolution in 1982, having been founded and established by Akbar Hashemi Rafsanjani. Accordingly, it could not have any students in 1980, 2 years before the year it was founded.",Named,4_Islamic_Azad_University,Iran,Education,https://en.wikipedia.org/wiki/Islamic_Azad_University,Number,Event
Which Iranian province had the most students enrolled at the University named Aryamehr University when it was founded in 1960 in Tehran?,Isfahan,I don't know,Tehran,Khorasan,"Sharif University was founded in 1966, not 1960.",Named,7_Sharif_University_of_Technology,Iran,Education,https://en.wikipedia.org/wiki/Sharif_University_of_Technology,Location,Event
What is the name of the university that was established in 1966 under the reign of first Shah of Pahlavi?,University of Tehran,I don't know,Sharif University of Tehran,Amirkabir University,"Sharif university was founded in 1966 under the reign of Mohammad Reza Shah Pahlavi, which was second Pahlavi shah.",Named,7_Sharif_University_of_Technology,Iran,Education,https://en.wikipedia.org/wiki/Sharif_University_of_Technology,Group_or_Org,Event
When was the Iranian university officially inaugurated in 1934 and located in the capital of the country named after Majid Sharif Vaghefi?,1976,1979,1981,I don't know,"University of Tehran was founded in 1934. However, Sharif University was named after Majid Sharif Vaghefi.",Geographical,7_Sharif_University_of_Technology,Iran,Education,https://en.wikipedia.org/wiki/Sharif_University_of_Technology,Date_or_Time_Period,Event
"Which language, other than Italian, was primarily used for the operas performed at the Liceu during its first year of operation?",French,Spanish,German,I don't know,"The facts state that the repertoire at the Liceu was Italian, with the most-performed composers being Donizetti, Mercadante, Bellini and Rossini. There is no mention of French or German operas being performed.",Temporal,3_Liceu,Italy,Education,https://en.wikipedia.org/wiki/Liceu,Language_or_Nationality_or_Country,Event
